District_Name,Crop_Year,Season,Area,Production,Temperature,PH,Rainfall,Sowing Temp,Harvest Temp,Phosphorous,Nitrogen,Potash,crop
MYSORE,1997,Kharif,7509.0,1812.0,31.0923920664,7.1077849045,62.6260707821,32.6432790839,37.3192817895,15.0252506763,6.0052093721,11.8518593795,arhar/tur
RAICHUR,1997,Kharif,25952.0,3156.0,32.204177489,7.3486290344,61.243971541,25.5344151486,38.0649878973,16.8410640501,6.9252089587,12.0787601536,arhar/tur
SHIMOGA,1997,Kharif,1951.0,456.0,30.1676284758,6.7821033895,62.2249963974,29.4380361923,38.4828797748,14.3298819101,7.607977088,12.7870782999,arhar/tur
TUMKUR,1997,Kharif,11135.0,3427.0,33.5038357276,6.829546153,61.3787163702,29.5016911352,36.3283368976,14.3495452166,5.0880310484,12.4275436062,arhar/tur
UTTAR KANNAD,1997,Kharif,218.0,51.0,31.7552879887,6.913961569,60.267183499,32.3850904627,39.1384273486,17.1101402716,6.8278608809,10.880958226,arhar/tur
BELGAUM,1997,Kharif,34917.0,5666.0,16.1729112271,6.328631685,41.3486937082,30.2862657471,22.7644740582,42.7263299089,29.169532721,0.0,bajra
BELLARY,1997,Kharif,14047.0,7221.0,15.4354142537,6.0836281169,46.0036856136,31.0204967177,20.0342061824,38.9595356023,29.5627488162,0.0,bajra
BIDAR,1997,Kharif,14756.0,9500.0,16.8733438179,5.8222770529,49.26884413,31.7059002835,21.4869402537,42.4972303388,31.0620616199,0.0,bajra
BIJAPUR,1997,Kharif,94756.0,40777.0,15.5083573291,5.9107748054,59.9358933956,30.6855073677,24.0442199605,40.9633485103,29.4168219001,0.0,bajra
CHITRADURGA,1997,Kharif,5257.0,1816.0,15.3551976355,5.8104625516,43.4546109855,30.0041526401,22.8622879009,41.1447007214,28.4456131531,0.0,bajra
DHARWAD,1997,Kharif,1581.0,564.0,15.2868786136,6.1349467253,46.1216418117,30.3874997234,23.2010579092,40.5212172747,27.3105444778,0.0,bajra
GULBARGA,1997,Kharif,66832.0,39483.0,16.3981593116,5.8888633986,52.8256445609,30.9130882007,24.6404219365,39.2664073084,32.2411428813,0.0,bajra
KOLAR,1997,Kharif,119.0,44.0,16.0967377678,6.3911221497,47.9407233331,30.2200939972,20.9129409482,42.8004148609,30.0081050083,0.0,bajra
MYSORE,1997,Kharif,365.0,161.0,17.060504046,6.4185981438,47.2436001063,31.2983620151,22.4831925828,42.9695812261,29.3295035886,0.0,bajra
RAICHUR,1997,Kharif,68296.0,26777.0,16.304046498,5.8849555253,57.6471863213,30.3451469154,24.8788792552,42.1369963988,28.2344338088,0.0,bajra
TUMKUR,1997,Kharif,223.0,47.0,18.4301658181,5.851697027,44.5868635415,30.4355645115,20.1373025384,40.602887411,27.645403664,0.0,bajra
BELGAUM,1997,Whole Year,215.0,26.0,25.4821001542,9.0973679639,8.9361925112,22.2656524937,23.4265806431,38.2844658317,0.0,0.0,coriander
BELLARY,1997,Whole Year,10736.0,2168.0,17.4728177352,8.832218478,9.1876597277,22.2349666899,20.9119221649,37.5922613823,0.0,0.0,coriander
BENGALURU URBAN,1997,Whole Year,154.0,17.0,18.4499985306,8.1047652047,9.2748261999,25.243271944,24.0904208221,42.2632494093,0.0,0.0,coriander
BIDAR,1997,Whole Year,701.0,74.0,26.0737018363,8.2545451244,9.8977481258,23.3254787565,18.1918777962,37.6602769651,0.0,0.0,coriander
BIJAPUR,1997,Whole Year,400.0,38.0,24.607222632,9.9317157279,9.2549258241,24.4300212778,16.250597682,42.3906567107,0.0,0.0,coriander
CHIKMAGALUR,1997,Whole Year,1180.0,120.0,15.1974883978,9.3933725159,7.7159509014,24.5437648881,23.3779011058,42.16534299,0.0,0.0,coriander
CHITRADURGA,1997,Whole Year,782.0,79.0,26.2743015315,9.5829650813,9.4025229609,22.2716898384,23.4989680004,37.812369988,0.0,0.0,coriander
DHARWAD,1997,Whole Year,1796.0,185.0,24.6483063457,8.3476373225,9.686854944,24.8856449795,16.2625166565,37.3926039358,0.0,0.0,coriander
GULBARGA,1997,Whole Year,21.0,3.0,21.590239651,8.3181648469,8.3670913557,24.2692864286,23.3549531404,40.3175974546,0.0,0.0,coriander
HASSAN,1997,Whole Year,251.0,32.0,21.2908169159,8.4433601187,7.5663036154,23.4244950206,22.2379155243,41.6516669011,0.0,0.0,coriander
KOLAR,1997,Whole Year,67.0,7.0,26.9691361039,8.374907846,8.0018301807,27.9014744021,17.0515455066,38.9822048477,0.0,0.0,coriander
MYSORE,1997,Whole Year,870.0,86.0,18.0163286894,8.0853920689,9.434699052,26.6843740523,18.5835675965,39.2782416553,0.0,0.0,coriander
RAICHUR,1997,Whole Year,38.0,7.0,25.3777424813,8.6141020752,7.8808779702,25.5076546706,20.5939903007,42.6864329629,0.0,0.0,coriander
SHIMOGA,1997,Whole Year,83.0,8.0,16.8737364391,9.8488093258,9.532565376,22.4849048146,17.8806962878,39.7165550125,0.0,0.0,coriander
TUMKUR,1997,Whole Year,23.0,3.0,24.8928446261,8.2210962109,8.921672353,23.7969902394,23.4540868828,41.7499317433,0.0,0.0,coriander
BELGAUM,1997,Kharif,75288.0,58174.0,24.1167157116,6.6069770689,52.4498657663,25.0826411068,23.4056035937,5.6141571891,7.1165422721,11.3552374435,groundnut
BELLARY,1997,Kharif,76932.0,38353.0,26.7203576483,6.6892813764,62.9350000761,32.5495962399,18.6917350428,5.7792424155,8.3290657517,8.6984879117,groundnut
BENGALURU URBAN,1997,Kharif,19469.0,19986.0,29.2559144625,6.8779518765,69.2705087419,34.2281934059,21.8440045655,6.1722381276,7.2401354223,8.185119678,groundnut
BIDAR,1997,Kharif,2499.0,648.0,28.9407704568,6.8089106115,56.9153324542,33.3059805567,24.834950956,6.6434275614,7.303644366,9.3326447643,groundnut
BIJAPUR,1997,Kharif,61771.0,18424.0,29.7659785957,6.6370807356,51.8780597303,28.3891104239,20.9998887594,5.7009798795,7.1079250528,10.6478678791,groundnut
CHIKMAGALUR,1997,Kharif,5010.0,6189.0,23.0417147085,6.8709532231,67.3177092807,31.3412941781,24.7929045847,5.9061302536,9.7178630324,9.4689577846,groundnut
CHITRADURGA,1997,Kharif,131629.0,88231.0,29.6195994684,6.9894122568,58.9065704661,30.7365130651,24.0773406,5.5822883239,7.9865897276,9.7204605711,groundnut
DHARWAD,1997,Kharif,116222.0,73437.0,27.0564580298,6.658272518,72.0826550282,29.8885466274,19.6605732783,5.3257909993,9.0411494042,10.8092249726,groundnut
GULBARGA,1997,Kharif,66070.0,29837.0,22.7260990038,6.7001289886,59.301266382,27.7221975323,22.7138764064,6.7582793477,8.6039500913,9.2071671766,groundnut
HASSAN,1997,Kharif,3506.0,4250.0,22.4828774662,6.9179661676,63.7488255615,34.9964548244,19.1958857821,5.2359557461,6.0470198387,8.7545037319,groundnut
KOLAR,1997,Kharif,86924.0,68844.0,29.1311621351,6.5646165354,69.0776678989,28.185962414,19.0502604718,5.1282051938,8.1858677304,8.0022682126,groundnut
MANDYA,1997,Kharif,7230.0,4372.0,22.0137650156,6.6962264239,69.7841485165,28.1368603477,21.5346615379,6.5627358836,6.808404537,11.9589304854,groundnut
MYSORE,1997,Kharif,36156.0,36705.0,29.5281965699,6.6072692665,66.0118386426,29.9707349914,20.4129370562,6.1302058224,8.6793186877,8.6640369087,groundnut
RAICHUR,1997,Kharif,62527.0,22818.0,25.9995307036,6.9074759974,74.5671793366,25.1059174706,21.2123217084,6.1780958855,9.6588071841,10.162823728,groundnut
SHIMOGA,1997,Kharif,6407.0,7075.0,29.826786958,6.68924829,57.5412186309,25.3739757879,18.4573367465,6.9416987414,7.7392173734,8.3727216501,groundnut
TUMKUR,1997,Kharif,89163.0,47699.0,20.7532497842,6.5229245879,70.2958951226,33.2893178987,22.9783411039,6.0505269307,8.4338409246,10.4088968874,groundnut
UTTAR KANNAD,1997,Kharif,863.0,520.0,28.5338448164,6.7198281728,58.8744404209,32.7884216633,18.133626722,6.5586389738,9.7700778579,10.7333754154,groundnut
BELGAUM,1997,Rabi,140805.0,63996.0,28.6249351738,6.759916492,61.1780396692,27.1586355946,16.6051507428,9.551193839,19.8258070529,9.5329378105,jowar
BELLARY,1997,Rabi,41994.0,40394.0,29.8539421156,7.2819903119,56.9137584242,26.9172297342,17.6493300571,8.4535706242,18.4541130896,10.1936078154,jowar
BIDAR,1997,Rabi,37204.0,5233.0,30.3768387075,6.3589745989,47.4448500167,26.7557549159,16.3564246142,8.538618318,18.1764886226,8.760711904,jowar
BIJAPUR,1997,Rabi,510692.0,263237.0,28.8830269684,6.9982345268,33.6653784377,29.0747516894,17.6741883329,6.8812978788,20.0380545238,10.7872408871,jowar
CHIKMAGALUR,1997,Rabi,6280.0,6417.0,28.2482238031,6.2402902477,60.4399874753,29.0719932062,16.8418771585,8.8122053478,21.8300195437,9.8489038377,jowar
CHITRADURGA,1997,Rabi,32746.0,13681.0,25.5821677977,6.3228821165,51.5942881063,26.596095325,16.1636660474,7.1164305515,18.3904802375,11.19668954,jowar
DHARWAD,1997,Rabi,171442.0,85600.0,30.9841611334,6.7831045168,49.5285106455,26.3170630449,16.9642441453,6.3026829093,20.1324684707,10.9395424796,jowar
GULBARGA,1997,Rabi,357100.0,146121.0,31.8243657268,6.7207001757,55.3578361179,25.9759763347,17.0479989517,9.0929580624,18.1925303889,10.6064447529,jowar
HASSAN,1997,Rabi,1433.0,630.0,29.1616899956,6.0366838533,41.9361804694,28.1706093108,16.142106323,9.2576997461,20.6843329282,8.9344669746,jowar
MYSORE,1997,Rabi,1026.0,462.0,26.0934761176,6.2535228168,47.4508180011,28.8675900762,16.0453529938,9.2620562324,18.7328656831,10.3032425769,jowar
RAICHUR,1997,Rabi,194872.0,94518.0,28.4897653312,6.4444720615,57.5643864384,28.5851669234,17.2384535318,9.9296646382,18.0520954888,9.3847104389,jowar
SHIMOGA,1997,Rabi,2779.0,1239.0,28.7094787537,6.3935138233,34.3666940445,29.5798106355,17.9761646501,6.4990930356,20.1397831129,11.1990282182,jowar
TUMKUR,1997,Rabi,2740.0,1218.0,27.6987460046,6.5152730863,56.0299714793,29.5135701879,17.545484471,6.7253300531,20.0677541999,8.9288005544,jowar
UTTAR KANNAD,1997,Rabi,59.0,27.0,30.0651514599,6.262266056,36.3403067406,25.5125424622,17.1467633783,8.507122052,21.5013717496,9.9745783073,jowar
BELGAUM,1997,Kharif,58549.0,181319.0,25.1089724593,5.6914543436,105.6594337219,28.7955064978,30.7609078308,15.3712538362,42.9453954477,8.3128186152,maize-k
BELLARY,1997,Kharif,73445.0,217603.0,25.6112771389,7.3155959949,79.2321509411,26.788739319,30.7405751702,16.9671600147,45.4952458892,8.9272034369,maize-k
BENGALURU URBAN,1997,Kharif,5972.0,16426.0,29.0296714529,5.8847416261,94.5315626054,27.474001977,31.4141182182,16.990475381,40.0249700324,11.8779391204,maize-k
BIDAR,1997,Kharif,292.0,522.0,28.6636906941,7.4931071216,64.4971864054,25.7276772988,30.895024536,20.9175527045,42.4483095682,8.2124673675,maize-k
BIJAPUR,1997,Kharif,37593.0,132035.0,26.5044679729,5.9036485704,66.9990461626,25.2791886887,30.9559425953,19.6521652424,44.7640728263,10.4682900187,maize-k
CHIKMAGALUR,1997,Kharif,340.0,742.0,28.9292607389,7.0438318379,73.2627525748,29.8054369574,30.994323185,18.826889093,43.4704218754,8.8367355128,maize-k
CHITRADURGA,1997,Kharif,109411.0,261359.0,28.6439426144,7.0025141484,64.3334025458,29.4291692169,31.3613658735,20.7162831181,42.9565827449,9.9935025595,maize-k
DHARWAD,1997,Kharif,109236.0,281572.0,26.2995955859,6.8271384015,64.1548371903,29.1918896823,33.9813149373,20.1258082693,43.1130493755,9.9924900787,maize-k
GULBARGA,1997,Kharif,1267.0,3407.0,25.5611851677,5.953226306,91.3528082374,29.560890614,33.014533448,17.1087687702,41.7713472418,9.4704902854,maize-k
HASSAN,1997,Kharif,4808.0,13259.0,29.2974381342,7.2596001604,72.5894713676,26.6868373019,33.3462409065,20.9303507034,44.7437191655,8.8908347445,maize-k
KODAGU,1997,Kharif,1510.0,3295.0,27.4130970995,5.538678498,109.8021317817,26.4791096805,31.280847043,15.540324584,44.9420874584,9.077472157,maize-k
KOLAR,1997,Kharif,11503.0,40636.0,28.2772324531,7.0490899418,68.3390814729,28.4621156789,30.5551377064,17.2507807554,42.7555975407,10.3713716857,maize-k
MANDYA,1997,Kharif,102.0,251.0,26.5621789585,5.777649461,84.2086100284,29.1103560522,30.826177344,18.2606194775,40.2626336057,8.3584891164,maize-k
MYSORE,1997,Kharif,20029.0,65080.0,28.183812146,7.0230701157,85.8379413871,27.4698409795,30.1288248682,18.7876936059,42.2765205577,9.7594031567,maize-k
RAICHUR,1997,Kharif,9911.0,34724.0,26.4898787471,5.608428713,92.8922994178,28.7792500734,31.9930028123,16.7673964677,45.6420974784,10.717376148,maize-k
SHIMOGA,1997,Kharif,55694.0,131489.0,26.4579163563,5.6718298824,104.4254002289,28.5957809404,31.4440569559,20.9429617051,45.7746685719,8.6078548161,maize-k
TUMKUR,1997,Kharif,3049.0,7239.0,26.1626916955,6.2083439535,78.2017645206,26.3355732428,30.249763053,20.437547444,44.1519056852,9.6576282891,maize-k
UTTAR KANNAD,1997,Kharif,86.0,174.0,26.7415924684,5.9541475303,73.0208347131,27.4649261283,31.7047873155,20.7927956327,41.8391551136,8.6743892086,maize-k
BELGAUM,1997,Rabi,26432.0,50103.0,24.9616414652,6.7423606905,61.4759319624,26.6483187663,29.2963376735,71.3699976815,21.8138759185,10.275784931,maize-r
BELLARY,1997,Rabi,600.0,1225.0,25.0902205377,6.25629595,206.975275465,25.0329188364,28.8666939526,69.5316126604,21.3137014804,10.1224141267,maize-r
BENGALURU URBAN,1997,Rabi,339.0,694.0,21.1526273026,5.9773910664,240.9735561428,23.946459411,28.5026461865,66.9273502995,26.3789163296,10.433557942,maize-r
BIDAR,1997,Rabi,38.0,68.0,22.4684098588,6.1818682821,139.156326997,26.010812291,25.6569628337,71.6559422291,23.7282462524,10.483104181,maize-r
BIJAPUR,1997,Rabi,15892.0,35590.0,21.449135427,6.5564505224,245.5658150575,23.7186598378,26.836626875,74.4269404313,21.7998515492,13.0884519632,maize-r
CHITRADURGA,1997,Rabi,494.0,1010.0,24.0278102358,6.5256057978,235.5889556767,23.967839561,27.1771868608,72.4911056519,25.2727594822,13.6554947693,maize-r
DHARWAD,1997,Rabi,1789.0,3654.0,24.127029524,7.063840851,160.0766324272,25.3062122199,29.4978280907,68.4973223657,24.5191905214,10.1233276268,maize-r
GULBARGA,1997,Rabi,228.0,462.0,21.5459139754,5.8377156702,93.5491802014,26.8578104298,26.9051637207,65.6617995061,23.3326939416,13.9343552861,maize-r
HASSAN,1997,Rabi,9.0,18.0,22.7102728166,5.8318252034,232.6410489021,22.0141976392,27.6093388756,66.8344567757,22.8406826785,13.2909340256,maize-r
KOLAR,1997,Rabi,239.0,489.0,21.579522085,6.5967985179,69.3953856469,23.6429113285,28.6388018449,67.0415818647,24.9151513015,12.9093280451,maize-r
MYSORE,1997,Rabi,1338.0,2712.0,21.9308930584,7.1436084944,98.6663489228,25.1971800008,29.7326729699,65.908705456,23.4112756596,13.1298272506,maize-r
RAICHUR,1997,Rabi,336.0,658.0,26.2644216175,7.3668339399,240.480845626,22.5815213961,28.4838258003,70.7527391282,22.5952258373,10.0173724267,maize-r
SHIMOGA,1997,Rabi,2.0,4.0,24.8297763496,6.5111458617,107.8209297034,26.0828197955,27.563344649,69.1771367383,25.1735980356,13.8394141477,maize-r
TUMKUR,1997,Rabi,1104.0,2239.0,25.3839549261,5.510417984,66.8764479832,24.5833585394,26.6957168054,72.125823348,22.1806306851,12.0544630137,maize-r
UTTAR KANNAD,1997,Rabi,4.0,6.0,23.8964441054,7.0784354337,186.291331017,25.5393718098,29.5014237992,73.508416105,23.9920288929,12.508917744,maize-r
BELGAUM,1997,Kharif,2501.0,2525.0,24.3913352886,6.112694989,106.400992139,30.9948913033,25.0012834548,14.0248162486,24.2417662477,10.3515010131,ragi
BELLARY,1997,Kharif,17185.0,12676.0,33.8121486546,7.474708487,100.7004361229,30.9122223268,26.936204355,11.5558127833,26.1993546206,11.3586267693,ragi
BENGALURU URBAN,1997,Kharif,178931.0,309672.0,26.7692546262,7.7377374316,100.7228343469,33.3940547147,28.4205603839,9.2064580632,25.2328800401,11.5253970098,ragi
CHIKMAGALUR,1997,Kharif,53900.0,60319.0,33.7584995121,5.3953566731,105.8747912638,33.8456832555,29.9736405878,13.0673037676,27.9034555299,11.1339015802,ragi
CHITRADURGA,1997,Kharif,62426.0,53619.0,33.4964387824,7.0963508254,99.8330948676,33.8835846471,28.7678008989,14.2386137369,24.1361803808,10.6713775528,ragi
DHARWAD,1997,Kharif,5389.0,3889.0,24.4943806306,5.4098504904,98.041259853,30.5821317184,23.1188453722,14.482340282,26.4398505611,13.2931656842,ragi
GULBARGA,1997,Kharif,76.0,99.0,32.9186949047,6.7504462151,91.089530404,30.4456739134,28.6577138585,9.5869280861,26.5195046161,13.2762732872,ragi
HASSAN,1997,Kharif,106980.0,143458.0,30.4292573965,4.5316604322,92.3575975747,32.9985715072,27.9043352234,10.3569611739,23.7167021898,10.8163982058,ragi
KODAGU,1997,Kharif,360.0,470.0,20.7411965186,4.6437040161,100.8967071327,30.4813022091,24.6033473983,13.7189069299,23.0884057499,11.7143400842,ragi
KOLAR,1997,Kharif,100225.0,142957.0,21.290469637,7.2855475234,97.9007962408,31.6240418445,28.744701942,9.2068512522,22.3025646176,12.3056927309,ragi
MANDYA,1997,Kharif,78428.0,137349.0,24.186260313,5.6246341955,103.4446603891,33.3982473755,21.653442256,10.3383795572,22.1469223483,11.0720052573,ragi
MYSORE,1997,Kharif,90302.0,133034.0,31.6222833644,5.730281788,101.297465168,33.7009331408,26.9509201761,9.2984230479,23.1204930689,11.7657006149,ragi
SHIMOGA,1997,Kharif,20950.0,19094.0,30.5231864808,4.9045614602,98.1828374372,30.6830127049,29.3704172386,14.7195407431,25.2407213707,10.012063697,ragi
TUMKUR,1997,Kharif,180184.0,195029.0,20.2826102516,6.0174738828,102.8576042298,30.515563642,22.743001602,11.0888724456,26.4844714194,11.9180950091,ragi
UTTAR KANNAD,1997,Kharif,84.0,92.0,23.1266718848,4.7747601833,94.6088815817,30.454872221,26.9402156907,10.2573164333,25.1179074975,10.4899064414,ragi
BANGALORE RURAL,1997,Kharif,11240.0,26256.0,27.7139501455,8.3756890094,11.6210958412,29.3947259357,22.1787383882,48.7509503222,12.0585227869,13.7573147833,rice
BELGAUM,1997,Kharif,63734.0,91677.0,28.1310954379,8.4954311034,12.6315519426,22.1869133688,24.7974306996,51.17959174,10.7656878284,10.8521967791,rice
BELLARY,1997,Kharif,34112.0,96733.0,20.3550817399,5.3532262444,15.1432734498,23.1107136998,24.5605719573,51.535529236,12.1947329816,13.827907282,rice
BENGALURU URBAN,1997,Kharif,3507.0,11033.0,18.1820720538,8.4150399799,14.6944337738,21.1154289166,21.3351400148,47.0049836811,13.8224159947,11.5408217796,rice
BIDAR,1997,Kharif,9385.0,6109.0,29.6261674461,8.4861629843,13.3698406822,20.2014730051,23.5204507905,51.5061287813,11.3036810062,13.1110109937,rice
BIJAPUR,1997,Kharif,450.0,635.0,28.8049030807,5.9358341406,13.9539667828,25.2671866712,24.2059646321,48.0134977479,11.4004243932,13.6232485124,rice
CHIKMAGALUR,1997,Kharif,48109.0,112905.0,26.287081873,9.1057335738,17.1120429751,26.8644531176,16.4811435802,47.4117163117,10.4189523483,13.0676458994,rice
CHITRADURGA,1997,Kharif,39725.0,136465.0,17.9113061694,8.4978748285,13.1813993285,21.1801112882,16.1257207665,49.5162696551,10.3722858148,13.8337757073,rice
DAKSHIN KANNAD,1997,Kharif,92885.0,180119.0,25.697764665,6.7576066043,16.7724974938,27.7495866988,17.6594712851,48.1835793334,10.1948125398,11.9492041783,rice
DHARWAD,1997,Kharif,89655.0,103406.0,17.6119164017,8.4438569995,17.9441822391,28.0806141256,22.6890989481,48.6905875151,12.2745735931,10.5467984772,rice
GULBARGA,1997,Kharif,6591.0,12179.0,18.8779663445,8.8381062934,19.5842548675,27.2677867614,23.0040745247,47.6652800504,12.408877472,10.4482666991,rice
HASSAN,1997,Kharif,53948.0,147084.0,19.5767229365,7.8599577618,12.2656239078,20.6665199523,16.8563812403,47.2907817555,12.264274656,11.2807069682,rice
KODAGU,1997,Kharif,39414.0,87476.0,22.0596836446,8.5312022514,16.6941685972,26.2275783294,23.0649486544,50.8264066863,11.4189919842,10.3092269152,rice
KOLAR,1997,Kharif,12130.0,26791.0,28.0278381535,9.3042013096,16.4575103418,23.0903208608,19.3649180708,48.2847264882,10.5790045961,11.4662916992,rice
MANDYA,1997,Kharif,57997.0,150905.0,23.7919305768,5.6706464399,16.3639857223,25.399978108,25.9808009419,52.2979125013,12.0730323243,11.8754346951,rice
MYSORE,1997,Kharif,105069.0,306717.0,28.5317131449,5.3792582485,14.3136621701,22.9559808454,16.3318823525,47.2319652347,12.6444204462,13.5647565161,rice
RAICHUR,1997,Kharif,92636.0,287526.0,20.4665748578,7.9984673304,19.0921594903,23.7709515983,23.7379337117,48.2526373881,13.2912805579,13.4406299078,rice
SHIMOGA,1997,Kharif,162939.0,370499.0,27.4212839915,5.1571363571,13.2173764315,23.0878823511,23.4927511387,48.5255231735,10.6581867261,13.9689030648,rice
TUMKUR,1997,Kharif,22589.0,57865.0,20.0177815919,9.4694342752,13.2970932633,20.4082612851,18.3553870252,47.6983560289,10.2651843567,10.4756123753,rice
UTTAR KANNAD,1997,Kharif,85415.0,128113.0,27.1666767229,6.2272440966,12.2460583159,22.487300931,16.7782693888,48.8011092504,11.5910194662,12.8187990471,rice
BELGAUM,1997,Whole Year,125173.0,11177949.0,21.0538505285,5.8712860993,81.4284114774,23.1372748691,26.7688675835,84.2050972603,0.0,0.0,sugarcane
BELLARY,1997,Whole Year,6945.0,488234.0,25.4367036809,6.568232937,86.0989206223,23.2675772378,28.4417244566,95.06704162,0.0,0.0,sugarcane
BENGALURU URBAN,1997,Whole Year,1585.0,149070.0,27.9319689599,7.5413851506,115.435177929,24.7099924258,21.0780504548,93.9902690984,0.0,0.0,sugarcane
BIDAR,1997,Whole Year,22571.0,1543856.0,23.950004903,8.3410866604,127.0325405992,20.1751284174,24.0404770437,91.7932696075,0.0,0.0,sugarcane
BIJAPUR,1997,Whole Year,56484.0,5795258.0,27.0330601512,7.5782954668,119.814582904,24.2680746861,27.1443085379,91.5045313948,0.0,0.0,sugarcane
CHIKMAGALUR,1997,Whole Year,1488.0,163978.0,23.3577817009,7.5255965504,93.5575228136,22.8659424885,29.5769378585,93.781560143,0.0,0.0,sugarcane
CHITRADURGA,1997,Whole Year,8378.0,827746.0,29.3255724861,5.0428817239,78.2848771871,20.5406750553,25.3107674275,95.4259578293,0.0,0.0,sugarcane
DAKSHIN KANNAD,1997,Whole Year,2154.0,188260.0,20.4542877889,7.407898487,112.0280058609,24.4605651637,27.6526029465,90.7829509403,0.0,0.0,sugarcane
DHARWAD,1997,Whole Year,7762.0,442434.0,28.2655428518,7.6957744943,75.4141584952,24.5831095359,24.3687953762,91.8032329379,0.0,0.0,sugarcane
GULBARGA,1997,Whole Year,5032.0,411114.0,27.2813540408,8.2901953555,99.2246201009,20.2514403915,29.2733103469,93.2455073672,0.0,0.0,sugarcane
HASSAN,1997,Whole Year,4919.0,495343.0,25.002851053,6.5185307035,112.8305832407,21.6894833029,25.6315246707,86.3879950497,0.0,0.0,sugarcane
KODAGU,1997,Whole Year,7.0,658.0,26.4486644526,6.9276650735,125.6993238155,21.2807276386,24.2731037523,95.0778711072,0.0,0.0,sugarcane
KOLAR,1997,Whole Year,3183.0,290290.0,27.5795852307,7.4829563239,116.2687050129,23.7200289403,20.9654956719,89.4663806491,0.0,0.0,sugarcane
MANDYA,1997,Whole Year,26846.0,2958429.0,25.0829579746,5.9947625223,95.4737692097,24.2086758164,20.503571311,85.4765178496,0.0,0.0,sugarcane
MYSORE,1997,Whole Year,19349.0,2058734.0,23.6783327199,5.5519838629,92.4803461072,22.5821439523,26.6563773783,93.0173413693,0.0,0.0,sugarcane
RAICHUR,1997,Whole Year,1304.0,122641.0,20.8577782714,7.9164348801,115.8104498403,21.3115517438,29.4295352438,87.9070527535,0.0,0.0,sugarcane
SHIMOGA,1997,Whole Year,12141.0,1614753.0,20.1528696649,6.5473809535,109.5842362001,21.1742962736,26.1816414019,85.7241314832,0.0,0.0,sugarcane
TUMKUR,1997,Whole Year,1732.0,171122.0,22.1497268029,6.3541033004,127.3069408523,21.1947934885,24.8712533652,86.6852347253,0.0,0.0,sugarcane
UTTAR KANNAD,1997,Whole Year,1804.0,99400.0,29.5696497922,6.8179132593,121.3207783324,21.5235888322,25.5035014629,95.2479968207,0.0,0.0,sugarcane
BELGAUM,1997,Whole Year,818.0,4496.0,24.2447163348,5.42046546,162.554015722,28.5855130455,20.2168036903,10.1285581809,11.3063153067,9.4933246071,turmeric
BELLARY,1997,Whole Year,1.0,6.0,26.3419103843,5.8200017858,219.1716873996,29.285721866,21.8815932214,8.5686947982,9.5834451684,10.0979965535,turmeric
BENGALURU URBAN,1997,Whole Year,54.0,181.0,27.0374808911,7.0201714817,203.88102383,29.6063528721,20.7143551719,9.82526826,9.8830681625,8.7176119331,turmeric
BIDAR,1997,Whole Year,107.0,109.0,24.083684477,6.2095037867,281.0271836619,31.6158902038,21.112430116,10.3082238888,9.5309829864,11.0906573653,turmeric
